139.71199999999999_35.684055555555602,1,モノクロ,./contentsTitle.do?specificationId=743972&dataTypeId=4&isLabel=true,C3,4,空中写真,35.6840555555556,139.712,35.6700833333333,139.695333333333,35.6976666666667,139.694861111111,35.6704444444444,139.729111111111,35.6980277777778,139.728694444444,false,null,80,8910,./contentsImage.do?specificationId=743972,false,139.69486111111101_35.697666666666699,139.695333333333_35.670083333333302,139.72869444444399_35.698027777777803,139.729111111111_35.670444444444399,17000,-795603600000,1,743972,null,
139.72169444444401_35.679000000000002,1,モノクロ,./contentsTitle.do?specificationId=743973&dataTypeId=4&isLabel=true,C3,4,空中写真,35.679,139.721694444444,35.6650277777778,139.705027777778,35.6926111111111,139.704555555556,35.6653888888889,139.738805555556,35.6929722222222,139.738388888889,false,null,81,8910,./contentsImage.do?specificationId=743973,false,139.704555555556_35.692611111111098,139.70502777777801_35.665027777777802,139.73838888888901_35.692972222222203,139.73880555555601_35.665388888888899,17000,-795603600000,2,743973,null,
139.78858333333301_35.665111111111102,1,モノクロ,./contentsTitle.do?specificationId=1712795&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6651111111111,139.788583333333,35.6511388888889,139.771888888889,35.6787222222222,139.771472222222,35.6515,139.805694444444,35.6790833333333,139.805277777778,false,null,94,8910,./contentsImage.do?specificationId=1712795,false,139.771472222222_35.678722222222198,139.77188888888901_35.651138888888902,139.805277777778_35.679083333333303,139.80569444444399_35.651499999999999,17000,-795603600000,3,1712795,null,
139.777722222222_35.665388888888899,1,モノクロ,./contentsTitle.do?specificationId=1712796&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6653888888889,139.777722222222,35.6514166666667,139.761027777778,35.679,139.760611111111,35.6517777777778,139.794833333333,35.6793611111111,139.794416666667,false,null,95,8910,./contentsImage.do?specificationId=1712796,false,139.76061111111099_35.679000000000002,139.761027777778_35.651416666666698,139.79441666666699_35.679361111111099,139.794833333333_35.651777777777802,17000,-795603600000,4,1712796,null,
139.76900000000001_35.665694444444398,1,モノクロ,./contentsTitle.do?specificationId=1712797&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6656944444444,139.769,35.6517222222222,139.752305555556,35.6793055555556,139.751888888889,35.6520833333333,139.786111111111,35.6796666666667,139.785694444444,false,null,96,8910,./contentsImage.do?specificationId=1712797,false,139.751888888889_35.679305555555601,139.75230555555601_35.651722222222197,139.785694444444_35.679666666666698,139.78611111111101_35.652083333333302,17000,-795603600000,5,1712797,null,
139.760444444444_35.666444444444402,1,モノクロ,./contentsTitle.do?specificationId=1712798&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6664444444444,139.760444444444,35.6524722222222,139.74375,35.6800555555556,139.743333333333,35.6528333333333,139.777555555556,35.6804166666667,139.777138888889,false,null,97,8910,./contentsImage.do?specificationId=1712798,false,139.743333333333_35.680055555555597,139.74375000000001_35.652472222222201,139.777138888889_35.680416666666702,139.77755555555601_35.652833333333298,17000,-795603600000,6,1712798,null,
139.75208333333299_35.666972222222199,1,モノクロ,./contentsTitle.do?specificationId=1712799&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6669722222222,139.752083333333,35.653,139.735388888889,35.6805833333333,139.734972222222,35.6533611111111,139.769194444444,35.6809444444444,139.768777777778,false,null,98,8910,./contentsImage.do?specificationId=1712799,false,139.73497222222201_35.680583333333303,139.73538888888899_35.652999999999999,139.76877777777801_35.6809444444444,139.769194444444_35.653361111111103,17000,-795603600000,7,1712799,null,
139.738361111111_35.667833333333299,1,モノクロ,./contentsTitle.do?specificationId=1712800&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6678333333333,139.738361111111,35.6538611111111,139.721666666667,35.6814444444444,139.72125,35.6542222222222,139.755472222222,35.6818055555556,139.755055555556,false,null,99,8910,./contentsImage.do?specificationId=1712800,false,139.72125_35.681444444444402,139.72166666666701_35.653861111111098,139.755055555556_35.681805555555599,139.75547222222201_35.654222222222202,17000,-795603600000,8,1712800,null,
139.726027777778_35.668611111111098,1,モノクロ,./contentsTitle.do?specificationId=1712801&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6686111111111,139.726027777778,35.6546388888889,139.709361111111,35.6822222222222,139.708916666667,35.655,139.743138888889,35.6825833333333,139.742722222222,false,null,100,8910,./contentsImage.do?specificationId=1712801,false,139.70891666666699_35.682222222222201,139.70936111111101_35.654638888888897,139.742722222222_35.682583333333298,139.74313888888901_35.655000000000001,17000,-795603600000,9,1712801,null,
139.71594444444401_35.667499999999997,1,モノクロ,./contentsTitle.do?specificationId=1712802&dataTypeId=4&isLabel=true,C4,4,空中写真,35.6675,139.715944444444,35.6535277777778,139.699277777778,35.6811111111111,139.698833333333,35.6538888888889,139.733055555556,35.6814722222222,139.732638888889,false,null,101,8910,./contentsImage.do?specificationId=1712802,false,139.698833333333_35.6811111111111,139.69927777777801_35.653527777777803,139.732638888889_35.681472222222197,139.73305555555601_35.653888888888901,17000,-795603600000,10,1712802,null,
139.78544444444401_35.6804722222222,1,モノクロ,./contentsTitle.do?specificationId=745854&dataTypeId=4&isLabel=true,C1,4,空中写真,35.6804722222222,139.785444444444,35.6681666666667,139.770722222222,35.6925,139.770333333333,35.6684722222222,139.800527777778,35.6928055555556,139.800166666667,false,null,31,8911,./contentsImage.do?specificationId=745854,false,139.77033333333301_35.692500000000003,139.77072222222199_35.6681666666667,139.800166666667_35.692805555555601,139.800527777778_35.668472222222199,15000,-795603600000,11,745854,null,
